job_title,salary,years_of_experience,submission_deadline,job_description,job_requirements,benefits,company_address
Sale Admin Website,"5,000,000 - 10,000,000",1-3 năm,05/01/2023,"Thường xuyên cập nhật các thay đổi liên quan trong chính sách bán hàng, chương trình khuyến mại của công tyLàm việc với các đối tác chiến lược, mang lại các chương trình collab hiệu quảKiểm tra các đơn hàng đến từ website TMĐT, xác thực đơn hàng và chịu trách nhiệm điều phối đơn hàngPhối hợp cùng các phòng ban khác để đảm bảo quy trình xử lý đơn hàng và giao hàng của công ty.Phối hợp với bộ phận Kho vận, Sales để nhận phản hồi từ khách hàng và tư vấn giải đáp thắc mắc khi cần.Phối hợp với bộ phận IT để tối ưu website bán hàng.Thực hiện các công việc khác khi có yêu cầu từ cấp trên.","1. Học vấn, kiến thức và trình độ chuyên môn:Tốt nghiệp đại học/cao đẳng2. Kinh nghiệm:Ứng viên có kinh nghiệm 1-2 năm tại vị trí tương tựƯu tiên ứng viên có kinh nghiệm làm SEO WebƯu tiên ứng viên có kinh nghiệm trong các công ty về TMĐT, Bán lẻ3. Những kỹ năng cần thiết cho công việcKỹ năng tin học văn phòng tốt (đặc biệt thành thạo Excel).Kỹ năng giao tiếp tốt, có tinh thần phối hợp, tư vấn và hỗ trợ.Nhanh nhẹn, trung thực, cẩn thận.","Được xét duyệt đánh giá định kỳ 2 lần/năm.Làm việc từ Thứ 2 – sáng Thứ 7Được hưởng các quyền lợi và chế độ theo luật quy định (Các ngày nghỉ lễ, BHXH, BHYT...);Thưởng lễ, Tết, sinh nhật các chế độ đãi ngộ dành cho người thân, tiệc cuối năm, và các hoạt động thú vị khác trong năm;Làm việc trong môi trường trẻ trung, năng động;Cơ hội được đào tạo và thăng tiến tốt trong công việc. Lộ trình phát triển công việc rõ ràng","HN: Tầng 9, Tòa IDMC Mỹ Đình, 18 Tôn Thất Thuyết, Nam Từ Liêm, Hà Nội. / HCM: 101-103 Nguyễn Trãi, Bến Thành, Quận 1, Hồ Chí Minh"
"Thực Tập Sinh Lập Trình (No-Code, Low-Code Platform)","1,000,000 - 5,000,000",Không yêu cầu kinh nghiệm,01/01/2023,"Phối hợp với bộ phận lập trình No-code, Low-code phát triển các ứng dụng sử dụng nền tảng phát triển No-code, Low-code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng.Tạo trang web bằng Webflow, Shopify, Burble, Adalo, xây dựng trang website thương mại điện tử EC, phát triển hệ thống web, phát triển ứng dụng điện thoại thông minh.Tìm hiểu thông tin và đăng tải thông tin về bốn nền tảng Nocode và Lowcode này (Webflow, Shopify, Burble, Adalo)","Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin.Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần.Những người quan tâm đến thị trường No-code và Low-code mới và muốn làm việc trong lĩnh vực này.Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành.Có laptop cá nhân.","Làm việc trong môi trường văn hóa Nhật Bản chuyên nghiệp, năng động và phát huy được năng lực của bản thân.Lộ trình thăng tiến nhân viên chính thức nếu ứng viên có mong muốn gắn bó lâu dàiĐược đào tạo ngành nghề bài bản, mở rộng cơ hội phát triển nghề nghiệp trong tương laiHỗ trợ đóng mộc báo cáo thực tập, luận văn.Hợp tác làm việc, đào tạo ít nhất 3 thángĐược hỗ trợ phụ cấp 1triệu/tháng.","Lầu 6, 235 Lý Thường Kiệt ,Phường 6 ,Quận Tân Bình , TPHCM"
HR Business Partner,Thỏa thuận,5-10 năm,28/12/2022,"Xây dựng và thực hiện chiến lược nhân sự phù hợp với chiến lược kinh doanh tổng thể trong từng giai đoạn phát triển của Công ty.Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên.Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý kế hoạch lương thưởng, chế độ đãi ngộ và phúc lợi cho nhân viên.Quản lý và xây dựng văn hóa doanh nghiệp.Báo cáo tới Ban Lãnh Đạo và hỗ trợ quá trình ra quyết định thông qua các số liệu về nhân sự.Đảm bảo tuân thủ pháp luật trong hoạt động quản trị nguồn nhân lựcThiết kế, xây dựng hệ thống KPI (đánh giá hiệu quả công việc) và tiến hành hướng dẫn đánh giá định kỳ. Sau khi đánh giá đưa ra kết quả thì sẽ tiến hành xây dựng các chính sách khen thưởng theo tháng, quý, năm.","Tốt nghiệp đại học các chuyên ngành liên quan như kinh tế, quản trị, hành chánh, luật...Am hiểu sâu về Luật Lao động, Luật doanh nghiệp, Luật BHXH, Luật Công đoàn.Có ít nhất 3 năm kinh nghiệm trong công tác quản trị nhân sự và hành chánh. Ít nhất 1 năm kinh nghiệm ở vị trí tương đương.Kỹ năng lãnh đạo nhân viên; lập kế hoạch; giao tiếp tốtKỹ năng tổ chức và giám sát công việcKỹ năng phân tích, tổng hợp, làm báo cáo.Có khả năng chịu áp lực cao trong công việcTrung thực, chính trực, nhiệt tình công tác. Sáng tạo trong công việc","Lương thỏa thuận theo năng lực;Làm việc trong môi trường công bằng, năng động, chuyên nghiệp và có nhiều cơ hội thăng tiến;Đội ngũ nhân viên trẻ trung, thân thiện và cởi mở trong công việc sẽ giúp cho nhân viên mới nhanh chóng hòa nhập với môi trường làm việc và văn hóa Công tyCơ hội đi du lịch/teambuilding hàng nămTổ chức khám sức khỏe định kỳ hàng nămChế độ thưởng: thưởng lễ tết, lương tháng 13, sinh nhật, cưới hỏi, party…Được hưởng đầy đủ các chính sách phúc lợi theo quy định của Công tyCác chế độ BHXH, BHYT, BHTN được thực hiện theo đúng quy định pháp luật và đảm bảo được hưởng đầy đủ các chế độ bảo hiểm.","Số 01 Nguyễn Văn Đậu Phường 5, Quận Phú Nhuận, TPHCM"
General Manager,Thỏa thuận,3-5 năm,31/12/2022,"1. Lập và triển khai kế hoạch kinh doanh- Định kỳ phối hợp với các bộ phận liên quan đặt ra chỉ tiêu, định hướng và lập kế hoạch kinh doanh phù hợp với tình hình chung.- Xây dựng mối quan hệ với các khách hàng trọng điểm.- Tham mưu, giúp việc cho Ban Giám đốc về mọi hoạt động quản lý, điều hành khách sạn; Làm việc dưới sự chỉ đạo của Ban Giám đốc và báo cáo trực tiếp cho Ban Giám đốc, thiết lập và quản lý kế hoạch, mang lại kết quả kinh doanh tốt. 2. Quản lý, điều phối hoạt động trong khách sạn- Chịu trách nhiệm về mọi mặt trong công tác điều hành, bao gồm sự hài lòng về dịch vụ từ khách hàng và các phòng ban, bộ phận, nhân sự, kết quả tài chính, kinh doanh buôn bán, nguồn doanh thu và khoản lợi nhuận thu về.- Duy trì và đảm bảo hoạt động của các bộ phận luôn vận hành tốt.- Thường xuyên kiểm tra chất lượng phòng, vệ sinh sảnh, dịch vụ khách hàng.- Giám sát, điều chỉnh thái độ - chất lượng phục vụ của nhân viên- Kiểm soát công tác bảo trì – bảo dưỡng, nâng cấp trang thiết bị, tài sản của khách sạn, hoạt động mua sắm của khách sạn.- Tối ưu hóa lợi nhuận - Phát triển phương pháp tăng lợi nhuận, thăm dò tìm kiếm cơ hội kinh doanh mới có tiềm năng.3. Xây dựng quy trình hoạt động tiêu chuẩn cho khách sạn- Phối hợp với các bộ phận liên quan xây dựng mô tả công việc, quy trình chuẩn hướng dẫn nghiệp vụ cho từng vị trí công việc, triển khai áp dụng cho nhân viên làm việc theo đúng quy trình- Tiến hành thay đổi, cải tiến các quy trình cho phù hợp với định hướng mới của khách sạn4. Giải quyết các sự cố, vấn đề phát sinh- Chỉ đạo nhân viên giải quyết các sự cố, vấn đề phát sinh- Nhanh chóng phối hợp với các bộ phận liên quan xử lý có hiệu quả các sự cố, vấn đề phát sinh để đem lại sự hài lòng nhất cho khách hàng5. Quản lý nhân sự- Quản lý trực tiếp toàn bộ hệ thống nhân sự hoặc gián tiếp thông qua Trưởng các bộ phận.- Đảm bảo đội ngũ các bộ phận đáp ứng tốt nhất các yêu cầu công việc, thiết lập môi trường làm việc thân thiện, đảm bảo mọi quyền lợi cho nhân viên.- Tham gia vào quá trình phỏng vấn tuyển dụng, đàm phán chế độ đãi ngộ với những vị trí phụ trách quản.- Đánh giá nhân sự, đề xuất khen thưởng, kỷ luật.6. Các công việc khác- Đại diện khách sạn làm việc với các đối tác, các cơ quan chức năng, truyền thông...- Đại diện xử lý các công việc liên quan đến pháp lý khách sạn.","- Tốt nghiệp đại học trở lên chuyên ngành quản trị du lịch, quản trị kinh doanh hoặc có chứng chỉ nghiệp vụ chuyên môn tương đương.- Ít nhất 3-5 năm kinh nghiệm ở vị trí tương đương tại các khách sạn 3,4,5 sao.-Có quan hệ đối tác tốt, sâu rộng để phát triển.- Sử dụng 4 kỹ năng tiếng Anh thành thạo.- Kỹ năng lãnh đạo, truyển cảm hứng, các kỹ năng về quản trị.- Kỹ năng phân tích tổng hợp, lập kế hoạch.- Tầm nhìn chiến lược.- Thành thạo Tin học văn phòng, các phần mềm quản lý.","- Tiền lương, thưởng và các khoản trợ cấp khác sẽ được thỏa thuận trong khi phỏng vấn. Ứng viên GIỎI, có NĂNG LỰC, 2 bên thỏa thuận lương cao theo khả năng ứng viên.- Được làm việc trong một môi trường chuyên nghiệp, thân thiện.- Được đóng BHXH, YT, TN theo quy định của Luật Lao động hiện hành.- Được hưởng đầy đủ các chế độ lương, thưởng và phúc lợi, đãi ngộ khác theo chính sách chung của công ty.","80 Đông Kinh Nghĩa Thục, Sơn Trà, Đà Nẵng"
Lễ Tân Gymasaster Quận 12,"5,000,000 - 10,000,000",Không yêu cầu kinh nghiệm,06/01/2023,"- Trực quầy Lễ tân- Tư vấn bán hàng gói membership cho khách hàng- Gọi điện chúc sinh nhật, hỏi thăm hội viên không đi tập, thông báo chương trình khuyến mãi trong tháng…- Tiếp nhận, xử lí các phản hồi của Khách hàng về dịch vụ- Trực trả lời fanpage và chuyển đến bộ phận tư vấn viên đúng quy trình- Các công việc khách theo sự phân công của Quản lý trực tiếp","- Giới tính: Ưu tiên Nữ từ 22 - 35 tuổi- Kinh nghiệm:+ Ưu tiên ứng viên có kinh nghiệm từng làm vị trí Lễ tân, Chăm sóc khách hàng, Telesale...+ Ứng viên không có kinh nghiệm (sẽ được đào tạo)- Tính cách: vui vẻ, năng lượng, nhiệt tình, lịch sự- Trình độ học vấn: Tốt nghiệp trung cấp trở lên các ngành quản trị kinh doanh, dịch vụ khách hàng, nhà hàng khách sạn...- Trình độ tin học: Tin học văn phòng cơ bản- Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng","Thu nhập = Lương cơ bản + Thưởng KPIs + Hoa hồng - Các khoản thưởng hàng năm hấp dẫn: Thưởng Đạt doanh số quý, Lương tháng 13, Thưởng theo hiệu quả công việc, Thưởng cá nhân xuất sắc...- Tham gia hoạt động sinh hoạt văn hoá hàng tuần, teambuiding, du lịch cùng công ty 1-2 lần/1 năm trong nước hoặc quốc tế...- Được hưởng đầy đủ các chế độ phúc lợi cơ bản theo quy định của nhà nước ngay sau kết thúc thời gian thử việc bao gồm BHXH, BHYT, BHTN,…- Được hưởng đầy đủ các chế độ phúc lợi động viên cho bản thân và người thân theo quy định chung của Công ty như Quà tặng sinh nhật, Chế độ thăm hỏi; Mừng các ngày lễ trong năm; Hiếu - hỉ…;- Được tham gia các hoạt động ngoại khóa, bồi dưỡng, nâng cao trình độ chuyên môn, kỹ năng dành cho CBNV ( thuê chuyên gia ngoài hoặc đào tạo nội bộ).- Đặc biệt, nếu trở thành CBNV của Nguồn Sống Việt, sẽ được tập luyện miễn phí tất cả các bộ môn tập luyện như Zumba, Yoga, Gym, Boxing....tại trung tâm Gymaster cao cấp.","235 đường 9A, khu dân cư Trung Sơn, huyện Bình Chánh, tp. HCM"
Nhân Viên Thiết Kế Đồ Họa Graphic Design,Thỏa thuận,1-3 năm,06/01/2023,"• Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách• Minh họa các ý tưởng thiết kế bằng cách sử dụng bảng phân cảnh, quy trình xử lý và sơ đồ trang web• Thiết kế các phần tử giao diện người dùng đồ họa, như menu, tab và widget• Xây dựng các nút điều hướng trang và các trường tìm kiếm• Phát triển các mô hình và nguyên mẫu giao diện người dùng minh họa rõ ràng cách các trang web hoạt động và trông như thế nào• Tạo thiết kế đồ họa ban đầu (ví dụ: hình ảnh, bản phác thảo và bảng)",• Kiến thức về các công cụ khung dây (Figma và InDesign)• Cập nhật kiến thức về phần mềm thiết kế như Adobe Illustrator và Photoshop• Tinh thần đồng đội; kỹ năng giao tiếp mạnh mẽ để hợp tác với các bên liên quan khác nhau• Kỹ năng quản lý thời gian tốt,"- Được tham gia BHXH sau thời gian thử việc- Thưởng các ngày lễ tết, sinh nhật, hiếu hỉ, nghỉ mát hàng năm, teambuilding hàng quý, happy hour hàng tuần- Tham gia CLB bóng đá, trà – cafe – đồ ăn vặt – nước ngọt free.- Gói Bảo hiểm sức khỏe cho các CBNV cống hiến- Được ghi nhận và có lộ trình thăng tiến các vị trí cao hơn tại Công ty;- Các chế độ đầy đủ theo luật lao động, thưởng tháng lương 13, các loại thưởng khác.","Tầng 6 toà nhà Hồng Hà, Số 57, Ngõ 66 Ngọc Lâm, Long Biên, HN"
Nhân Viên Tư Vấn Online,"5,000,000 - 10,000,000",Không yêu cầu kinh nghiệm,31/12/2022,"Tìm hiểu, nghiên cứu về các sản phẩm của công ty để giới thiệu, tư vấn và giải đáp thắc mắc cho khách hàng. Đàm phán, thương lượng với khách hàng về giá cả, hợp đồng, tiến hành chốt đơn và hỗ trợ khách hàng ký hợp đồng. Chăm sóc khách hàng sau khi bán hàng, duy trì mối quan hệ với khách hàng hiện tại. Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ. Thực hiện các công việc khác theo sự phân công của cấp trên.","- Chấp nhận ứng viên mới tốt nghiệp hoặc đã tốt nghiệp cao đẳng/đại học liên quan tới các khối ngành kinh tế, muốn tìm kiếm cơ hội trau dồi kinh nghiệm về tư vấn, bán hàng.. - Có khả năng giao tiếp rất tốt.. - Có tính tự giác và chủ động để hoàn thành tốt KPIs.. - Có khả năng chịu áp lực được công việc.. - Có kinh nghiệm tư vấn, bán hàng (online hoặc direct) dưới 1 năm kinh nghiệm.","- Lương: 8 - 10 triệu + Hoa Hồng Doanh số. - Môi trường trẻ trung, năng động, thân thiện, hỗ trợ lẫn nhau.. - Được tham gia đóng đầy đủ Bảo hiểm xã hội, Bảo hiểm y tế, BHTN theo quy định của pháp luật.. - Lương tháng 13, thưởng năm, thưởng Lễ, Tết, thưởng sinh nhật, thưởng thâm niên, xem xét nâng lương hàng năm.. - Trao đổi kỹ hơn các quyền lợi khác khi đến phỏng vấn","40 Đường Số 10 KDC Him Lam, P. Tân Hưng, Q. 7, Thành phố Hồ Chí Minh, Việt Nam"
Nhân Viên Marketing Tại Mỹ Đình - Hà Nội,"10,000,000 - 15,000,000",Không yêu cầu kinh nghiệm,11/12/2022,"- Tìm kiếm, xử lý hình ảnh, video sản phẩm. - Lên chiến dịch quảng cáo Facebook. Tik Tok, Youtube. - Phân tích và tìm kiếm sản phẩm phù hợp với khách hàng. - Theo dõi đánh giá các chiến dịch hàng giờ, hàng ngày để tối ưu chi phí tỉ lệ chuyển đổi. - Lên kế hoạch chi phí cho các chiến dịch. - Chủ động tối ưu quảng cáo dựa trên chi phí đã đưa ra. - Xây dựng phát triển nội dung và tăng tương tác cho fanpage mình quản lý. - Cập nhật xu hướng nội dung và thuật toán Facebook, vận hàng, tối ưu quảng cao nhằm đạt được KPI đã đề ra.. - Họp và báo cáo với leader, theo tuần theo tháng.","- Nam/Nữ tuổi từ 18-24 tuổi , ưu tiên ứng viên có kinh nghiệm chạy quảng cáo Facebook Ads, Tik Tok Ads,.... - Hỗ trợ đào tạo cho các ứng viên là sinh viên mới ra trường hoặc chuẩn bị ra trường , có đam mê với marketing, truyền thông, quảng cáo,.... - Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản. - Có laptop cá nhân","-Thu nhập từ 11 triệu tới 20 triệu tuỳ theo năng lực ứng viên (lương cứng + hh + thưởng). -Thời gian làm việc từ 8h00 - 17h00 từ thứ 2 – 6 và từ 8h00-16h00 thứ 7 hàng tuần.. - Làm việc trong môi trường năng động, chuyên nghiệp hàng đầu trong lĩnh vực quảng cáo. - Hệ số lương cao, mức thu cao hơn mức trung bình toàn ngành. - Được đào tạo thêm các kỹ năng văn phòng, văn hóa làm việc,.... - Phúc lợi lớn, du lịch, liên hoan, hiếu hỉ, sinh nhật đầy đủ.","40 đường Hàm Nghi, Nam Từ Liêm, Hà Nội"
"Lập Trình Viên IOS ( Từ 5 Năm Kinh Nghiệm Trở Lên, Tiếng Anh Giao Tiếp) - Đối Tác Us",Thỏa thuận,5-10 năm,05/01/2023,"At least 5+ years of experience with Objective-C or Swift, React Native, and Cocoa TouchExperience with iOS frameworks such as Core Data, Core Animation, etc.Experience with offline storage, threading, and performance tuningFamiliarity with RESTful APIs to connect iOS applications to back-end servicesFluent in written and spoken EnglishExperience with AWS and GCP","Our team work together to accomplish challenges. You need to be someone who can show your passion and ambition while looking out for your squad mates.You'll need to share our desire to learn and grow.While you can always rely on your squad, you should be someone who can find creative solutions to problems on your own.You'll feel comfortable with our team, and you'll be encouraged and able to voice your opinions, but you won't be afraid to let people know when you need help.","Great starting salaries for our junior engineers.This is a fully remote position for anyone within VietnamWe have flexible working time - as most of our developers are based in Vietnam you'll be working local business hours, Monday to Friday.Fully compliant with the Vietnam Labor Code, with Social Security based on full salary","397 Điện Biên Phủ, Phường 04, Quận 03, TPHCM , TPHCM"
Nhân Viên Bán Hàng Thời Trang Nữ Tại Yên Bái,"5,000,000 - 10,000,000",Dưới 1 năm,30/12/2022,"- Nhân viên tư vấn bán hàng thời trang nữ công sở, hàng thiết kế của công ty. - Trưng bày các mặt hàng, đón khách, tư vấn khách. - Nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách. - Trao đổi chi tiết khi phỏng vấn","- Ưu tiên các bạn nữ yêu thích kinh doanh. - Nhanh nhẹn, thật thà, giao tiếp tốt.. - Có kinh nghiệm bán hàng quần áo công sở, bán hàng online.. - Sử dụng được máy tính để nhập thông tin hóa đơn bán hàng trên phần mềm.","- Mức lương: lương cơ bản + % doanh thu (5-7 triệu). - Làm việc theo ca 07h/ ngày (ca 1 từ 8h00 -15h); ca 2 từ 14h00 - 21h00), làm việc 28 ngày/tháng. - Công việc ổn định, lâu dài. - Được hưởng chế độ và phúc lợi theo quy định (BHXH, BHYT, sinh nhật, ốm đau, hiếu hỉ, nghỉ mát,...). - Được làm việc trong môi trường trẻ trung, năng động, cơ hội và lộ trình thăng tiến rõ ràng","Số 99 Trần Hòa, Định Công, Hoàng Mai, Hà Nội"
