job_title,salary,years_of_experience,submission_deadline,job_description,job_requirements,benefits,company_address
Gia Sư Trực Tuyến ( Tiếng Anh Giao Tiếp),"1,000,000 - 5,000,000",Không yêu cầu kinh nghiệm,04/01/2023,"- Gia sư tiếng Anh giao tiếp trực tuyến 1 kèm 1 cho học viên qua nền tảng trực tuyến (zoom, google meet, skype, zalo...)- Giáo trình có sẵn. Khuyến khích tham gia đóng góp ý kiến, điều chỉnh, tối ưu hoá chương trình học phù hợp với học viên.- Hỗ trợ học viên trong suốt quá trình học tập.- Thời lượng 1 lớp học: 60p/ buổi, 3 buổi/ tuần. Dạy tối thiểu 6h/ tuần (Theo từng học viên đến cuối chặng 18 - 36 buổi).Báo cáo: Cập nhật, báo cáo công việc theo quy định & khi được yêu cầu.","Kiến thức, Kinh nghiệm:- Chứng chỉ C1 quốc tế (TOEIC ≥ 850, IELTS ≥ 7.0,...)- Hoặc Bằng Đại học Cử nhân Ngôn ngữ/Sư phạm Anh/Biên phiên dịch...- Ưu tiên ứng viên đã từng đi giảng dạy/có kinh nghiệm đào tạo.Kỹ năng:- Khả năng phát âm tốt.- Yêu thích công việc chia sẻ, đào tạo & phát triển con người.- Khả năng giao tiếp tốt và khuyến khích học viên nói tiếng Anh.Thái độ, tố chất:- Trung thực, nhiệt tình, có trách nhiệm với công việc.- Tâm huyết, có tinh thần học hỏi và phát triển bản thân, gắn bó và yêu thích sự đổi mới sáng tạo.- Nhanh nhẹn, chủ động.Yêu cầu khác: Có máy tính cá nhân, tham gia quá trình huấn luyện để đảm bảo yêu cầu.","Thu nhập: 3.000.000vnđ - 8.000.000vnđ.Thu nhập: Khóa 1-1: 100k/giờ (lương cứng + thưởng)Các chính sách:- Thời gian làm việc linh hoạt: từ 09h00 – 11h00 sáng và 15h00 – 23h00 chiều tối.- Được làm việc tại nhà, không cần đi lại, chủ động sắp xếp lịch làm việc.- Được cung cấp giáo án và đào tạo về các kỹ năng giảng dạy.- Được đào tạo các phương pháp giảng dạy ứng dụng NLP và theo chuẩn CELTA- Có lợi thế trong việc trở thành giảng viên full-time offline.","179 Trường Chinh, Thanh Xuân, Hà Nội"
Brand Manager - Ngành Hàng Mỹ Phẩm,"20,000,000 - 40,000,000",1-3 năm,03/01/2023,"1. Chịu trách nhiệm xây dựng hình ảnh và quản lý và phát triển thương hiệu:- Nghiên cứu thị trường, thương hiệu, khách hàng, các đối thủ cạnh tranh về những chỉ số liên quan đến phát triển thương hiệu. - Phân tích thị trường để định vị thương hiệu và xác định insight của khách hàng mục tiêu.- Hoạch định chiến lược định vị và xâm nhập thị trường.- Cung cấp các chiến lược và kế hoạch để đạt được mục tiêu của thương hiệu.- Giám sát các hoạt động marketing và quảng cáo đạt hiệu quả.- Dự đoán nhu cầu, theo dõi ngân sách hàng năm, lập kế hoạch chi tiêu; dự kiến các rủi ro để có biện pháp xử lí kịp thời.- Phối hợp với các bộ phận/phòng ban trong việc triển khai các chiến dịch Marketing, phát triển sản phẩm mới, thiết lập chiến lược định giá, đề xuất giá bán, cạnh tranh.- Theo dõi và báo cáo hiệu quả của các chiến dịch.- Đảm bảo sự hoà hợp giữa thương hiệu với tầm nhìn, sứ mệnh, mục tiêu và chiến lược của công ty.2. Quản lý nhân sự:- Quản lý, phân công công việc và nhiệm vụ cho nhân sự trong bộ phận Marketing phụ trách phát triển thương hiệu.- Giám sát quy trình làm việc của nhân sự, phân tích hiệu quả làm việc và hiệu quả của các dự án đang được thực hiện.- Phối hợp tuyển dụng nhân sự mới theo yêu cầu của công ty, đào tạo và phát triển đội ngũ nhân sự cũ.","- Bằng cấp/ chứng chỉ: Tốt nghiệp Đại học, Cao đẳng chuyên ngành liên quan đến Marketing, Truyền Thông, …- Có kiến thức toàn diện, bài bản về hoạt động marketing và branding.- Có kinh nghiệm xác định khách hàng mục tiêu, xây dựng và triển khai chiến dịch marketing.- Kĩ năng lãnh đạo và tư duy chiến lược và khả năng sáng tạo.- Kĩ năng phân tích tình huống, xử lí tình huống và ra quyết định.- Quản lý rủi ro và xử lý khủng hoảng truyền thông.- Kĩ năng giao tiếp tốt, làm việc nhóm tốt.- Chịu được áp lực công việc.- Chủ động cập nhật các biến động thị trường, xu hướng ngành hàng và áp dụng vào thực tiễn.","- Thưởng kết quả kinh doanh theo quý, theo năm.- Làm việc với các thương hiệu mỹ phẩm Hàn Quốc như Gilaa, De Memoria, Vegick,…- Cơ hội làm việc trong môi trường trẻ - năng động - thân thiện, chuyên nghiệp, hệ thống quy trình tác nghiệp rõ ràng, nhiều cơ hội thăng tiến theo năng lực.- Làm việc hoàn toàn dân chủ với những ý kiến đóng góp được trao đổi trực tiếp với ban lãnh đạo công ty.- Thu nhập hấp dẫn, xứng đáng với năng lực, thưởng theo hiệu quả công việc.- Cơ hội được tham gia đào tạo, phát triển kỹ năng và chuyên môn. (Công ty chi trả chi phí)- Đãi ngộ, Phúc lợi: Lễ tết, Hiếu hỉ, sinh nhật, nghỉ mát, ốm đau, thai sản,…- Được hưởng đầy đủ quyền lợi theo quy định của Luật lao động, tham gia Bảo hiểm Tai nạn, Chăm sóc sức khỏe PVI.","Tầng 7, Tòa nhà Bcons, 176/1 - 176/3 Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp. Hồ Chí Minh"
Nhân Viên Trực Fanpage,"5,000,000 - 10,000,000",Dưới 1 năm,01/01/2023,"- Tư vấn, giải đáp mọi thắc mắc của Khách hàng trên các kênh Fanpage, Zalo. - Xin SĐT Khách hàng nhập lên hệ thống để Telesale gọi điện chăm sóc. - Seeding khi có bài post mới trên Fanpage. - Làm xoay ca từ 8h00-17h30 hoặc từ 13h30-21h30 tuần được sắp xếp nghỉ 1 ngày","- Kỹ năng phân tích tổng hợp thông tin. - Xử lý tính huống phát sinh một cách thông minh, linh hoạt , giao tiếp khéo léo với khách hàng. - Sử dụng máy tính thành thạo, đánh máy nhanh. - Nhanh nhẹn, chủ động, cầu tiến. - Ưu tiên các bạn có kinh nghiệm trực page và sử dụng pancake","- Lương cứng từ 5-7 triệu (tùy năng lực) + thưởng (khoảng 100% - 150% lương chính) + ăn trưa 25k/ ngày. Thu nhập trung bình từ 10-15 triệu/ tháng. - Chính sách thưởng đa dạng: Thưởng hiệu quả công việc, tháng, quý, năm, thưởng nhân viên. xuất sắc, ý tưởng đột phá,…. - Môi trường làm việc trẻ, năng động, chuyên nghiệp. - Được đào tạo, học tập và nâng cao trình độ. - Được hưởng lương tháng 13 và thưởng tết theo cơ chế của công ty. - Được hưởng đầy đủ chế độ lao động theo Quy định nhà nước: BHXH, BHYT..... - Có cơ hội khẳng định năng lực bản thân, cơ hội thăng tiến và mức thu nhập hấp dẫn","208 Hoàng Ngân, Trung Hòa, Cầu Giấy, Hà Nội"
"Chuyên Viên Xử Lý Hồ Sơ Visa Mỹ, Úc, Canada",Thỏa thuận,1-3 năm,01/01/2023,"BTTravel, thành viên của Tập Đoàn BTGroup, ra đời với mong muốn đưa người Việt Nam đi du lịch đến các nước trên thế giới một cách dễ dàng và thuận lợi nhất.Chúng tôi đang tìm kiếm những ứng viên nhiệt huyết, phù hợp với môi trường làm việc chuyên nghiệp, năng động và có cơ hội thăng tiến cao.1. - Tiếp nhận, tư vấn, kiểm tra và thực hiện hồ sơ xin Visa Mỹ, Úc, Canada.- Chăm sóc và hỗ trợ các yêu cầu của khách hàng trong suốt quá trình thực hiện dịch vụ- Phối hợp cùng các phòng ban khác đưa ra giải pháp xử lý hồ sơ của mỗi khách hàng.- Cập nhật các chính sách visa Mỹ, Úc, Canada.- Thực hiện các công việc theo sự phân công khác của Ban Giám Đốc.","• Trình độ học vấn: từ Cao Đẳng trở lên.• Ít nhất 2 năm kinh nghiệm ở vị trí tương đương• Cẩn thận, tỉ mỉ, có khả năng nghiên cứu, tổng hợp và phân tích thông tin tốt• Khả năng giao tiếp tốt, nhiệt tình và chịu được áp lực trong công việc• Tiếng Anh: tương đương IELTS 5.5• Sử dụng thành thạo vi tính văn phòng.• Có bằng hướng dẫn viên du lịch quốc tế là một lợi thế.","Lương: Thỏa thuận theo năng lựcChế độ:• BHXH, BHYT theo quy định Nhà Nước.• Lương tháng 13• Được cấp laptop làm việc sau khi ký hợp đồng chính thức• Hỗ trợ ăn trưa• Du lịch công ty 1 lần/ năm• Thưởng KPI, Lễ Tết và các khen thưởng khác theo quy chế công ty.• Môi trường làm việc chuyên nghiệp, năng động, cơ hội thăng tiến cao• Các hỗ trợ khác tùy yêu cầu công việc thực tế5. Hồ sơ xin việc gồm:• Đơn xin việc/ Cover Letter• Sơ yếu lý lịch/ CV• Bản sao hộ khẩu, CMND/CCCD• Bản sao các văn bằng, chứng chỉ liên quan• Giấy khám sức khỏe • Lý lịch tư pháp (bổ sung sau khi trúng tuyển)Hồ sơ xin việc ghi rõ vị trí dự tuyển gửi trực tuyến qua TopCV hoặc nộp trực tiếp tại những địa điểm sau:Tiêu đề mail và CV ghi rõ: Họ tên ứng viên – Vị trí dự tuyển.Các ứng viên phù hợp sẽ được Công ty liên hệ phỏng vấn.","Tòa nhà AP Tower, 518B Điện Biên Phủ, Phường 21, Bình Thạnh, Tp Hồ Chí Minh"
Project Assistant,Thỏa thuận,1-3 năm,07/01/2023,"• Discuss with Clients and collect their information, requirements about software products.• Analyze and clarify customer requirements, then develop documents based on collected information.• Participating in the selection of software solutions with the technical team to meet Client’s business requirements.• Manage change requests when required by the customer and pass it on to the technical team to implement the change requests.• Test the implementation results of the technical team to see if the software meets the customer's requirements.• Manage software acceptance documents to ensure that the software meets the requirements of the Clients.• Organizing instructions, training, for Clients to use software products.• Ensure the technical team develops the right product according to the customer's requirements and ensures the project's time and progress.","• Fresher or have experience equivalent to 1 year• Good English• Good logical thinking, systematic mindset• Ability to collect, synthesize, and analyze information• Ability to write software documents, draw mock-ups• Good communication skills, problem solving skills• Attention to details• High responsibility & accountability in work projects• Team spirit to create great things together with teammates & customers","• Working time: Flexible. Mon – Fri (8h30 – 17h30) & lunch time 1,5h. • Competitive salary, based on experience and portfolio• Chance to have salary and career adjustments or development 2 times per year, based on performance and experience• Social insurance, health insurance, unemployment insurance according to Labor Laws• Good chance to study and develop stable and long-term career path with a clear roadmap• Training both inhouse or conducted by external professional trainers every month• Young and dynamic working culture with the spirit of radical clarity and family• Nice decorated office with a full facility such as cafeteria, free coffee, snacks, books, entertainment corner,…• Team building activities and company trips twice a year• Health check every year• Year-end gifts and year-end bonus based on personal performance• Birthday gift• Diversified scheme of loyalty bonus applied for everyone• Happy Friday, Happy Dinners every 2 weeks• Year-end Dinners, Quarterly Dinners• Working equipment provided for all full-time employees (including the probationary period)• Join the Clubs under the official sponsorship of the Company: Football, Games, other hobbies,…• Professional and friendly working environment.• Great opportunity for advancement in an environment of constant growth","Tầng 10, Tòa nhà GB Tower, 78-80 Cách Mạng Tháng Tám, Phường 06, Quận 3, Hồ Chí Minh, Vietnam"
IT Support Officer (Lương Từ 10.000.000Đ Đến 15.000.000Đ),"10,000,000 - 15,000,000",1-3 năm,31/12/2022,"• Tiếp nhận, xử lý các yêu cầu hỗ trợ từ người dùng:• Lắp đặt thiết bị, cài đặt phần mềm theo yêu cầu theo chính sách IT.• Quản lý bản vá, cập nhật bảo mật.• Bảo trì, quản lý hệ thống mạng, Camera, máy chấm công, wifi...• Quản lý thiết bị phần cứng mạng như máy tính, máy in, máy photo, máy scan, tổng đài điện thoại...• Hỗ trợ người dùng các vấn đề liên quan đến email, kết nối máy in, ứng dụng office,...• Wireless Devices and Connection Daily Checklist.• Wireless Baseline and Configuration Management.• Modify SSID, Security Policy, Security Mode, Channel.• Wireless Connection Availability and Capacity Report.• LAN Devices Daily Checklist and System Health Check.• Giám sát tình trạng máy chủ, hỗ trợ về server nếu có.• Fileserver: kiểm tra tình trạng hoạt động, tài nguyên được chia sẻ.• Print service management.• Thêm máy in mới, cập nhật driver, quản lý quyền truy cập và thiết lập in.• Kiểm tra tính khả dụng và giám sát hoạt động của dịch vụ in.• Sửa lỗi liên quan đến hoạt động của dịch vụ.• Hỗ trợ các bộ phận đặc biệt là bộ phận vận hành đặc biệt các ngày cuối tháng.• Trao đổi với nhân viên hoặc khách hàng trực tiếp hoặc chỉ dẫn qua điện thoại để giúp cài đặt hệ thống hoặc giải quyết vấn đề.• Khắc phục sự cố hệ thống và mạng, chẩn đoán và giải quyết các lỗi phần cứng hoặc phần mềm.• Thay thế các bộ phận, thiết bị của máy tính, hệ thống mạng theo yêu cầu của cấp trên.• Cung cấp hỗ trợ, bao gồm tài liệu và các báo cáo liên quan đến máy tính, mạng.• Chuẩn bị sơ đồ và chỉ dẫn bằng văn bản để sửa chữa lỗi hoặc cài đặt hệ thống.• Hỗ trợ triển khai các ứng dụng mới.• Thiết lập tài khoản và hồ sơ của người dùng mới, xử lý các vấn đề về mật khẩu.• Thiết lập mối quan hệ tốt với khách hàng, đối tác và các chuyên gia CNTT khác.• Thử nghiệm và đánh giá công nghệ mới.• Tiến hành kiểm tra an toàn điện đối với thiết bị thuộc quản lý của bộ phận IT.","• Tốt nghiệp Cao đẳng trở lên trong lĩnh vực Công nghệ thông tin.• Kinh nghiệm ít nhất 2 năm ở vị trí IT helpdesk, IT Support hoặc vị trí tương đương.• Có khả năng ứng viên có khả năng giao tiếp, đọc hiểu tiếng Anh.• Có kiến thức về Network (LAN, WAN, WIFI), máy tính, máy in, IP Phone...• Có kinh nghiệm sử dụng, làm việc với các thiết bị cầm tay (iPad, Tablet...).• Có khả năng đọc và hiểu các hướng dẫn kỹ thuật, tài liệu thủ tục và hướng dẫn đào tạo.• Có khả năng giao tiếp và xử lý vấn đề qua điện thoại.","• Được training đào tạo bài bản chuyên nghiệp.• Lương: Thỏa thuận theo năng lực của ứng viên.• Định kỳ xét tăng lương 1 lần/năm.• Thưởng kết quả kinh doanh theo năm (Thưởng năng suất hoặc KPI).• Được hưởng đầy đủ các chế độ: BHXH (theo bậc lương BHXH của Công ty quy định), BHYT, thăm hỏi ốm đau, tai nạn, sinh nhật, hiếu hỉ...• Các đãi ngộ khác của Công ty.• Được đào tạo nâng cao kiến thức, kỹ năng, chuyên môn nghiệp vụ.• Có nhiều cơ hội được thăng tiến phát triển nghề nghiệp.","Tầng 4, số 4, Nguyễn Đình Chiểu, Phường Đakao, Quận 1, TP.Hồ Chí Minh, Vietnam."
Nhân Viên Telesales Part Time,"1,000,000 - 5,000,000",Không yêu cầu kinh nghiệm,04/01/2023,"- Gọi điện tìm kiếm khách hàng tiềm năng- Tư vấn, giới thiệu sản phẩm cho khách hàng- Trao đổi với khách hàng- Thời gian làm việc partime sáng hoặc chiều","Nữ từ 18 tuổi trở lên, tốt nghiệp Trung cấpChăm chỉ, cần cù, ham học hỏiKhông yêu cầu Kinh nghiệm, chỉ cần hòa đồng, Có tinh thần trách nhiệm","Lương cứng :2,5-3trĐược cung cấp trang thiết bị khi làm việc.Không yêu cầu kinh nghiệm. Được đào tạo,hướng dẫn kiến thức trong quá trình làm việc.Được nâng cao khả năng giao tiếp, đánh máy, soạn thảo văn bản.Được xét tăng lương, được thưởng khi làm việc tốt ( thưởng theo tháng, thưởng đột suất)Được đi du lịch hè, picnic, liên hoan sinh nhật,…Được nghỉ/thưởng các ngày lễ,Tết.Được làm việc trong môi trường trẻ chuyên nghiệp, năng động, hòa đồng vui vẻ.","Tòa Nhà Việt Á, số 9 Duy Tân, Cầu Giấy, Hà Nội"
Trưởng Nhóm Kinh Doanh,"20,000,000 - 40,000,000",3-5 năm,30/12/2022,"• Lập kế hoạch kinh doanh theo Tháng/Quý/Năm cho Công ty• Xây dựng hợp đồng, các cơ chế, quy trình hợp tác với các Cộng tác viên, doanh nghiệp khách hàng và doanh nghiệp đối tác• Cải tiến các quy trình bán hàng online, offline và xây dựng bộ tài liệu để đào tạo cho nhân viên Sales và cộng tác viên mới• Giám sát kết quả kinh doanh, ra quyết định điều chỉnh mang tính cạnh tranh cao để tăng doanh thu• Phân tích, báo cáo thị trường và đối thủ cạnh tranh và đưa các chương trình thu hút khách hàng phù hợp• Xây dựng ngân sách, định mức chi phí vận hành. Định kỳ theo dõi kiểm soát và đánh giá, điều chỉnh ngân sách và định mức chi phí.• Tuyển dụng, sắp xếp, đào tạo, đánh giá và phát triển đội ngũ• Xây dựng dữ liệu khách hàng, mở rộng thị trường• Quản lý các hoạt động Marketing hiệu quả• Các công việc khác theo yêu cầu của Ban Giám đốc.","• Nam/Nữ có ngoại hình ưa nhìn, độ tuổi từ 28 - 35• Tốt nghiệp Đại học chuyên ngành Kinh tế, Quản trị kinh doanh, Ngoại thương…• Ít nhất 3 năm kinh nghiệm ở vị trí tương đương, đã từng có kinh nghiệm tại các Nha khoa thẩm mỹ, trung tâm làm đẹp• Am hiểu về kinh doanh và Marketing, có kiến thức về thị trường nha khoa thẩm mỹ• Giao tiếp và lắng nghe tốt• Kỹ năng quản lý, chủ động trong công việc• Có tư duy nhạy bén và khả năng thuyết phục cao • Tiếng anh giao tiếp• Sử dụng thành thạo tin học văn phòng• Sẵn sàng đi công tác, đào tạo khi có yêu cầu","Thu Nhập lên tới 30 Triệu /thángĐóng BHXH theo quy định của LuậtĐược giao lưu, đào tạo, tham dự hội thảo về chuyên môn với các Chuyên gia, KOLs ở nhiều lĩnh vực liên quanThưởng các dịp lễ tếtVà các quyền lợi khác trao đổi cụ thể trong quá trình phỏng vấn","257 Phố Huế, Hà Nội"
Giáo Viên Mầm Non,"5,000,000 - 10,000,000",Dưới 1 năm,31/12/2022,"Giảng dạy, chăm sóc, nuôi dưỡng trẻ mầm nonTham gia các hoạt động, sự kiện của trườngTham gia đào tạo định kỳHỗ trợ các hoạt động ngoại khóa:- Trang trí và thay đổi môi trường của trường theo các sự kiện- Hỗ trợ tổ chức các góc chơi theo sự kiện của nhà trường","Tốt nghiệp từ trung cấp trở lên (không yêu cầu kinh nghiệm)Yêu trẻ, nhiệt tình với công việcGắn bó lâu dàiKỹ năng & khả năng:- Kỹ năng giao tiếp tốt- Sử dụng thành thạo office- Khả năng làm việc nhóm tốt- Thành thạo ngoại ngữ là một lợi thế.","Mức lương 6 - 10 triệuNghỉ thứ 7, chủ nhậtĐóng BHXH, nghỉ hè, nghỉ lễ, thưởng lễ tết đầy đủƯu đãi học phí cho con nhân viên","Tầng 1 tòa C - Việt Đức Complex, ngõ 164 Khuất Duy Tiến, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội"
Nhân Viên Hỗ Trợ Tài Xế Ứng Dụng Giao Hàng,"5,000,000 - 10,000,000",Dưới 1 năm,31/12/2022,"Tiếp nhận và giải đáp thắc mắc các vấn đề từ Shipper liên hệ tổng đài thông qua kênh Hotline (Call/ Chat).Ghi nhận thông tin trên hệ thống và chuyển phiếu đến các bộ phận liên quan để xử lý vấn đề của Shipper (nếu có).Sử dụng linh hoạt các công cụ & phối hợp với các phòng ban để giải quyết các vấn đề một cách kịp thời & chuyên nghiệp.Đảm bảo các chỉ số KPI được yêu cầu.Thời gian làm việc: Xoay ca 8 tiếng trong khung từ 7h - 22h, nghỉ 1 ngày/ tuần (ứng viên tự chọn).Ca làm việc do quản lý sắp xếp.Nghỉ giữa ca 60 phút.Địa điểm làm việc: Tòa nhà Thăng Long, 82 - 84 Thăng Long, phường 4, quận Tân Bình, Tp. Hồ Chí Minh.","Nam/nữ tốt nghiệp THPT trở lên, tuổi không quá 30.Ứng viên có kinh nghiệm chăm sóc khách hàng, Telesale, ... là một lợi thế.Không có kinh nghiệm sẽ được đào tạo nghiệp vụ.Không vướng bận công việc/lịch học, có thể làm việc xoay ca, sắp xếp ngẫu nhiên không cố định.Ưu tiên ứng viên làm việc Lễ/Tết và tăng ca theo điều động của công ty (không thường xuyên).Yêu cầu đánh máy đạt 50 từ/ phút.Có khả năng giao tiếp, giải quyết khiếu nại tốt, giao tiếp thân thiện, có tinh thần cầu tiến.Chịu được áp lực công việc.","Thu nhập: (Lương cơ bản + KPI): Thử việc: 85% Lương - Chính thức: 7 - 8 triệu/tháng.Đào tạo có lương (Hỗ trợ chi phí học việc 164.000/ ngày).Hỗ trợ chi phí gửi xe: 5000đ/ngày làm việc tại công ty hoặc miễn phí gửi xe.Công ty thực hiện đầy đủ các chế độ BHXH, BHYT, BHTN theo quy định.Được nghỉ 1 ngày không cố định trong tuần.12 ngày nghỉ phép/năm đối với nhân viên ký hợp đồng lao động chính thức.Thưởng lễ tết, sinh nhật (tùy theo quy định của công ty).Được trang bị đầy đủ các công cụ, trang thiết bị phục vụ công việc.Được đào tạo, nâng cao kỹ năng chăm sóc khách hàng và cơ hội thăng tiến lên các vị trí cao hơn một cách rõ ràng, minh bạch.Được làm việc trong môi trường trẻ trung, năng động và có cơ hội học hỏi kinh nghiệm làm việc.","Tòa Nhà Thăng Long Building 82-84 Thăng Long, Phường 4, Quận Tân Bình"
